0,ground_truth
94c215bd43688ef04f9129331dc6ba5cfaf6b8929b166d47bb0ebf2b662b1dcf,1
softonic109.exe,0
6cb19b7b091e561f1383182a1dbe7a61b6f66a78fbdfa9ca0cba33a0c19fef08,1
a5af31b906e27be591ac943c6880e23c17e8b9725afd664b9d0418674825216f,1
438.exe,0
Sourceforge_7628.exe,0
b4ab0dd3ede49fc4018cf3cf80dabb76c66efe522285491dfd961d85a9c54768,1
G2wlN4BuxnLUHiXQeSZR,1
Windows_53.exe,0
JqmwBOLiagP4M2XkErvC,1
2cf3219eb3fdc7d22d9cdf088ddf3c3e71a62f97763fa1f80d338fbcef66ad66,1
c6cc0bc5f638343530d50e465ee7b0a2cf952d971f2d50d1b26c5ff8d2068280,1
H14sZdW5uykCAYUFon3r,1
1695.exe,0
Sourceforge_2748.exe,0
704DS8ZCuOtUahTQ1EYx,1
Sourceforge_4248.exe,0
8x1oTUZgX2JaQtqBYNld,1
5df165b45783ccec2859d2cbf898e5dc329fe0d62fdf544f9532cf3fe547af9b,1
CNET_16863.exe,0
5a5201fca4be85bd7d6b638d6cf5b50465ef0e63728612fe97c99ca3a44da505,1
5SGjeWfq2M9btVgF78rp,1
5Ud7vNlBO9mRQhVrwJyD,1
Sourceforge_5803.exe,0
Sourceforge_5445.exe,0
7b905299149b1506293611b50fbe76e62a429ecb2a4e9f7b7db8bd5522728aff,1
4c6146e9ed228ef646b28cef589ef4ada49bf67fcc4b7d466925ab9de3edb2bc,1
i5bArN2uj1mtEOBkUzlS,1
CNET_102511.exe,0
89vxBRnaEKcYM04Dhq5b,1
CNET_233335.exe,0
9b42b6e2e085ee0739657eb606d10e146fc9812f78af201866842f4a166c10ae,1
Sourceforge_3176.exe,0
1100.exe,0
521083dc715b997d46b5b3591966b77ba01c749cb375ffb4897637535439ae05,1
CNET_200885.exe,0
Sourceforge_33.exe,0
0ff9d4c3cfd5a15918d7ed0e685e6b35da8c3c4fb272761910e8f3599bfb3647,1
63b23d010fd94f11f7177cd739c4aeff3706488c3c63cf8efd01f51d17d2fa3c,1
Sourceforge_559.exe,0
Sourceforge_3709.exe,0
CNET_8724.exe,0
6c2fc39739b2b910c7e8f128134d171e568fd06d32724cff106059ab2f47cdc6,1
1b52819008c72fff5148b552b1bbd0915415ce608e656dfd48f304d76f418f76,1
JwzA3tXdgc7eNYxjCy5L,1
23e43fbeb8f9353f4ce55df3c4ef351bd506df87145b03412f2a3160aec0b7fc,1
3f46e46cb2d9368d9304cc913e852f0936b75d3fc51e9d1e4db3b0aeffbb5499,1
CNET_256337.exe,0
GseuqVvdHoYCySXkJpEL,1
6ae9bc06506398364763e03a75a5db015188d3da8032fa0a48a4b13e5b8044a9,1
f68bb42ce6d65902275468d5589521805e76a06b724824eb72c6bc1754359d9e,1
29c27429a81caec5cc9d25cf7d663dd6747fa92569b49471b5c967d29b464260,1
64ad90d80f56306852283ed5809c67970703dfa5dee12e618214b173a277660f,1
Sourceforge_4094.exe,0
G80aDFlyJqitT9vBsQMZ,1
CNET_257912.exe,0
Sourceforge_5290.exe,0
JgtDMQ8WuhPiFxBnalL5,1
iBNlQ3bYzKr7R6DCXp2F,1
cAPwa3zSIr7lvLVMpE2h,1
Sourceforge_51.exe,0
Sourceforge_3414.exe,0
47f2bf412337888cbc0a0eafea56d0b6ccdf5196b383ed13fe4141e29525fb31,1
fbcf02ca3b2573fa375659b0af70bee53930a25effbd9a02344725cd33b16254,1
Sourceforge_7596.exe,0
2b5940e9bc576274ac49adcf153a04328b21d3a6db10d0c0156025f380d0a722,1
dBO4MNxb7AzLaoWpm9vC,1
52a5776503722d0ea87fa60009674bdd3ebbd4449ed9328bf502c7ec5c5ac516,1
CNET_264669.exe,0
2ad37abc84ce5b1c7c415973992c654b3e0d6d2f4cf3515d20c1f45d8d913247,1
554b2c240fcf2a9319218ff128b0e0598555b348b1f8965aeebdd8f62c338ab8,1
39YX8jkenM2UHOvCRDq5,1
Sourceforge_450.exe,0
2161.exe,0
Sourceforge_3455.exe,0
fJNIFnjPxKEvHemRBYsg,1
CNET_234349.exe,0
G8Jqn4KXzOMZjyEIW1Uc,1
4920c1cf6d72b2db0584369703f763b3e554774adec404823e28ff94d075399e,1
d7d107fabaab590c3267094416df22f2bfee85436d03023a134906cf84d90416,1
CNET_110832.exe,0
1DNWriJEg56S03yvjTBu,1
FLjUoM3ahgeXQuRmAS8O,1
1awKqmMpQUblukHhBy7n,1
1fdc71b89f5d3b5fce037341692415964a8c4141c9579be50045bf9d2e309afd,1
8a387c734c5f4df1591665ce2d33c5d8e3be7672bc8071c7392f4be3009a0a2a,1
Sourceforge_4799.exe,0
3339a0102389f96847a8b958abbb1a3dd1add0c44b3395fc5a2ae491e056bb87,1
BEDxazQfwP7s615Vdvpi,1
CEfkRZXa14zAWG9Duqvc,1
CNET_238379.exe,0
1f7fff9acb21a7f506194f2d370c669cf98e8dcf597fa2c1e3f5cba9990327ab,1
f0324442c00cf1818db4754a53d16e55995af18339f7b728f4d28334a5d1aeb7,1
1212.exe,0
CNET_234981.exe,0
780.exe,0
Sourceforge_1043.exe,0
4unYl0BDo2NvIZGiEJWj,1
Sourceforge_2403.exe,0
Sourceforge_4387.exe,0
2075.exe,0
a5aad8d71c84c93eca7e24681b41fb8a165e282d6eb5540c782245c830b096cb,1
fzicEKPN527qMsOHpAht,1
2394.exe,0
Sourceforge_2313.exe,0
3089debb78ac55d321badf41239a3010dcf1577c1cdc4f69cfa09f2c90affb22,1
ATVo94avrEyjnexXU8W7,1
1L8Wt9XTV3pInwaqiobG,1
bb9b7bf7e2fdefe4fcb05e44f267239955d6c75db7ebf1d6b9926b8e4b1f3330,1
9cf3a137622d89d8279a9bccefa765670fe31f4cbfb9bee3887bbe60f3087ae5,1
IJkRMnXj2AflNqE0Hac4,1
i2BcTkGozeNaIH8uLFV9,1
ddcd14ee4a48801f1db7314f79ee7de6ea82320ff919f3d77424b8631172fea2,0
cZd0DaAvlpGMKFm17rYB,1
2304.exe,0
0f571ef05bcef1cc66e59e7db9fa4d0ae8a68a0eaf4efe9db207f6175638ea85,1
4abeb178495d5cd8772566694e2ee0a3d940b666098993792ef366ce5e4b76d2,1
4b125edc75cb8d454d375348a3be20927541a7047ac6c880a0c9cb772743179f,1
gFWLibev8VZR2pntMDUN,1
2080.exe,0
CNET_104036.exe,0
clDmndwYzEaRtyrQusUJ,1
1494.exe,0
984f2c720c8838e7943a2a7a8fb7e5ead4d42a5cd6ab397d9bf3f8e01e22d7dd,1
1676.exe,0
9akqIEt8KZylpiAW3gbB,1
FiHCdZeLuSOWcQBv8yKm,1
197.exe,0
CSd9xghUeLkpPtcwJKIq,1
fa8ea283aebb2874230b4b48838967dc157cc56e6269ed94bcf9e8c02f2c71e2,1
33.exe,0
1fcd894eda6f75fa3252a34c862561e9ec3ed98f2815493f9becba4846248f0c,1
d9eL3MgusYQWwtf6l2yn,1
3456c2b8a641ad94036678881c8f69eb3ee8dee8fceb7e2df11c9a8b4c8b0800,1
GZMUBgvzt3brcfsh84iR,1
5347b54543de507e5b0f51ec2d83428ee127e46a6aadc31f6f93ee69895d6bab,1
cGv8jZ2BnPMdm64VWeRw,1
e28fef341fadcf787790668568ee64c2c91f2925bf4a1a64f33ab9cd8e0666a7,1
Sourceforge_1950.exe,0
AdTYlL1J4j9HUiy87Dmg,1
e681ddd9dbce6572e181674027430d69a016e74e7ed4d03d6afb5d866a79716b,1
Sourceforge_399.exe,0
Sourceforge_7390.exe,0
9YS2sP3vIewdCbrplLO1,1
80dee8c3daaf10d404a7372e59674b234913eed413d8848f7e2e13dabbb25a24,1
Sourceforge_2007.exe,0
Sourceforge_766.exe,0
4c8d3115080bb3410882b9782167246af44a768e382359634642be07078574f0,1
7vtNCqSGQbBjmYdEURMH,1
emfAXPk3uGVwRaCF9Zgh,1
6e89605ccf7b57b0ae286977420858f5f3e4cb41e1684e968ae497f4a0ad7d9a,1
a1e333be5bb0a03a11e7113c998e7abcff211922372c253f8d3265efef99f468,1
312.exe,0
16440c4b5b60c27b68a6fcf3a75333cebb7689c5efb82a967886ee7274a5d579,1
40f8be090c2e10a4175b11315d5adbd548b1a079fb450c6ff18b82b5ad0d75cc,1
Sourceforge_1930.exe,0
HJSPltnLF4DN3x18ZUjy,1
bkvWjpGYrfKLJUyON74g,1
ddf8bc3a7b26baae645b79963ade91afceb152993bae8883b193311a2f3539a1,1
hZBge41CJMuA60blif7P,1
3682b279f8b9b447398705a85047ff78b93ecfeafa3f0bd4ed252df28f43179a,1
dHpIeYK9gkS3DWE8ziBU,1
a43aae87397c2b59467f01f4ed29d272968be5f4cbdae10343efafe56db98cb2,1
enDwHFXxh8CzI0WTg15M,1
BMmCz4hZdgYjcbQD5oai,1
Sourceforge_369.exe,0
